adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
False,/uc1p1PEbEMpdIHqnU9TESNC6Jhp.jpg,[18],275102,['KR'],ko,스캔들,"In Joseon, a secret proposal ignites hidden desires in a gifted noblewoman, a famed lover and an unsuspecting lady caught in their dangerous game.",3400.2893,/4TU0PcHBIl0wPW5B6aVRGExOnHE.jpg,2026-09-18,False,The Scandal,6.273,11
False,/pF0qkRsrHkdYadPWY9AMeFZfcwk.jpg,"[10759, 80]",108978,['US'],en,Reacher,"Jack Reacher, a veteran military police investigator, has just recently entered civilian life. Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served.",867.0873,/f1VCQIG2iCyOookdgOzwtUpwWC0.jpg,2022-02-03,False,Reacher,8.1,3383
False,/qFfWFwfaEHzDLWLuttWiYq7Poy2.jpg,[10767],2261,['US'],en,The Tonight Show Starring Johnny Carson,"The Tonight Show Starring Johnny Carson is a talk show hosted by Johnny Carson under The Tonight Show franchise from 1962 to 1992. It originally aired during late-night. For its first ten years, Carson's Tonight Show was based in New York City with occasional trips to Burbank, California; in May 1972, the show moved permanently to Burbank, California. In 2002, The Tonight Show Starring Johnny Carson was ranked #12 on TV Guide's 50 Greatest TV Shows of All Time.",809.6015,/uSvET5YUvHNDIeoCpErrbSmasFb.jpg,1962-10-01,False,The Tonight Show Starring Johnny Carson,7.536,96
False,/gMMnf8VRg3Z98WaFmOLr9Jk8pIs.jpg,"[35, 10767]",63770,['US'],en,The Late Show with Stephen Colbert,"Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert, the #1 show in late night, where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology, and more. Featuring bandleader Jon Batiste with his band Stay Human, the Emmy Award-nominated show is broadcast from the historic Ed Sullivan Theater.",709.1087,/9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg,2015-09-08,False,The Late Show with Stephen Colbert,6.082,364
False,/hINekSpbcBxjnjGqmIm6I4bz2ab.jpg,"[10767, 35]",22980,['US'],en,Watch What Happens Live with Andy Cohen,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,676.0239,/onSD9UXfJwrMXWhq7UY7hGF2S1h.jpg,2009-07-16,False,Watch What Happens Live with Andy Cohen,4.969,96
False,/tc7canPSAn2X14hYi6Rl3gZm1o4.jpg,"[80, 18]",549,['US'],en,Law & Order,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.",565.5337,/haJ9eHytVO3H3JooMJG1DiWwDNm.jpg,1990-09-13,False,Law & Order,7.286,726
False,/mU7l9UaEItxHbg2YBNs0sHjoFVY.jpg,"[18, 10768]",113962,['US'],en,Lioness,"Cruz Manuelos, a rough-around-the-edges but passionate young Marine, is recruited to join the CIA's Lioness Engagement Team to help bring down a terrorist organization from within. Joe, the station chief of the Lioness program, is tasked with training, managing and leading her female undercover operatives.",568.1133,/rzpHPSEgPTpRs8EHbygwsOw7jC0.jpg,2023-07-23,False,Lioness,8.2,1592
False,/amtOltTVcK9vQtL1iQS6p3LBi05.jpg,[10767],62223,['US'],en,The Late Late Show with James Corden,"Once Craig Ferguson retires, James Corden will be taking over The Late Late Show. The show is a late night talk show that interviews celebrities and has its own bits. And of course, it's all hosted by James Corden.",465.2712,/qPmVoG8G9tc1nN8ZwGV2zYcknit.jpg,2015-03-23,False,The Late Late Show with James Corden,5.149,148
False,/i4OYRb5V13BrOnTPJGdyXWg4r0J.jpg,"[35, 10767]",59941,['US'],en,The Tonight Show Starring Jimmy Fallon,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.",516.034,/1N4o5PmmqhlVDrcdJ2RlCFWbLGX.jpg,2014-02-17,False,The Tonight Show Starring Jimmy Fallon,5.756,389
False,/jWXrQstj7p3Wl5MfYWY6IHqRpDb.jpg,[10763],94722,['DE'],de,Tagesschau,"German daily news program, the oldest still existing program on German television.",461.7041,/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg,1952-12-26,False,Tagesschau,6.768,256
